source,date,author,url,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
The Huddle,04/14/23,David Dorey,https://www.nflmockdraftdatabase.com/mock-drafts/2023/the-huddle-2023-david-dorey?date=2023-04-14,"['carolina-panthers', 'C.J. Stroud', 'QB', 'Ohio St.', 'Big Ten']","['houston-texans', 'Bryce Young', 'QB', 'Alabama', 'SEC']","['arizona-cardinals', 'Will Anderson Jr.', 'EDGE', 'Alabama', 'SEC']","['indianapolis-colts', 'Anthony Richardson', 'QB', 'Florida', 'SEC']","['seattle-seahawks', 'Jalen Carter', 'DL', 'Georgia', 'SEC']","['detroit-lions', 'Joey Porter Jr.', 'CB', 'Penn St.', 'Big Ten']","['las-vegas-raiders', 'Paris Johnson Jr.', 'OT', 'Ohio St.', 'Big Ten']","['atlanta-falcons', 'Myles Murphy', 'EDGE', 'Clemson', 'ACC']","['chicago-bears', 'Nolan Smith', 'EDGE', 'Georgia', 'SEC']","['philadelphia-eagles', 'Devon Witherspoon', 'CB', 'Illinois', 'Big Ten']","['tennessee-titans', 'Will Levis', 'QB', 'Kentucky', 'SEC']","['houston-texans', 'Jaxon Smith-Njigba', 'WR', 'Ohio St.', 'Big Ten']","['new-york-jets', 'Peter Skoronski', 'OT', 'Northwestern', 'Big Ten']","['new-england-patriots', 'Christian Gonzalez', 'CB', 'Oregon', 'Pac-12']","['green-bay-packers', 'Tyree Wilson', 'EDGE', 'Texas Tech', 'Big 12']","['washington-commanders', 'Brian Branch', 'CB', 'Alabama', 'SEC']","['pittsburgh-steelers', 'Deonte Banks', 'CB', 'Maryland', 'Big Ten']","['detroit-lions', 'Bijan Robinson', 'RB', 'Texas', 'Big 12']","['tampa-bay-buccaneers', 'Darnell Wright', 'OT', 'Tennessee', 'SEC']","['seattle-seahawks', 'Calijah Kancey', 'DL', 'Pittsburgh', 'ACC']","['los-angeles-chargers', 'Quentin Johnston', 'WR', 'TCU', 'Big 12']","['baltimore-ravens', 'Jordan Addison', 'WR', 'USC', 'Pac-12']","['minnesota-vikings', 'Emmanuel Forbes', 'CB', 'Mississippi St.', 'SEC']","['jacksonville-jaguars', 'Zay Flowers', 'WR', 'Boston College', 'ACC']","['new-york-giants', 'Jalin Hyatt', 'WR', 'Tennessee', 'SEC']","['dallas-cowboys', 'Michael Mayer', 'TE', 'Notre Dame', 'FBS Independent']","['buffalo-bills', 'Lukas Van Ness', 'EDGE', 'Iowa', 'Big Ten']","['cincinnati-bengals', 'Dalton Kincaid', 'TE', 'Utah', 'Pac-12']","['new-orleans-saints', 'Jahmyr Gibbs', 'RB', 'Alabama', 'SEC']","['philadelphia-eagles', ""O'Cyrus Torrence"", 'IOL', 'Florida', 'SEC']","['kansas-city-chiefs', 'Broderick Jones', 'OT', 'Georgia', 'SEC']"
NBC Sports Philadelphia,04/14/23,Staff,https://www.nflmockdraftdatabase.com/mock-drafts/2023/nbc-sports-philadelphia-2023?date=2023-04-14,"['carolina-panthers', 'C.J. Stroud', 'QB', 'Ohio St.', 'Big Ten']","['houston-texans', 'Bryce Young', 'QB', 'Alabama', 'SEC']","['arizona-cardinals', 'Will Anderson Jr.', 'EDGE', 'Alabama', 'SEC']","['indianapolis-colts', 'Anthony Richardson', 'QB', 'Florida', 'SEC']","['seattle-seahawks', 'Jalen Carter', 'DL', 'Georgia', 'SEC']","['detroit-lions', 'Lukas Van Ness', 'EDGE', 'Iowa', 'Big Ten']","['las-vegas-raiders', 'Devon Witherspoon', 'CB', 'Illinois', 'Big Ten']","['atlanta-falcons', 'Tyree Wilson', 'EDGE', 'Texas Tech', 'Big 12']","['chicago-bears', 'Peter Skoronski', 'OT', 'Northwestern', 'Big Ten']","['philadelphia-eagles', 'Nolan Smith', 'EDGE', 'Georgia', 'SEC']","['tennessee-titans', 'Jordan Addison', 'WR', 'USC', 'Pac-12']","['houston-texans', 'Jaxon Smith-Njigba', 'WR', 'Ohio St.', 'Big Ten']","['new-york-jets', 'Paris Johnson Jr.', 'OT', 'Ohio St.', 'Big Ten']","['new-england-patriots', 'Darnell Wright', 'OT', 'Tennessee', 'SEC']","['green-bay-packers', 'Myles Murphy', 'EDGE', 'Clemson', 'ACC']","['washington-commanders', 'Christian Gonzalez', 'CB', 'Oregon', 'Pac-12']","['pittsburgh-steelers', 'Joey Porter Jr.', 'CB', 'Penn St.', 'Big Ten']","['detroit-lions', 'Bryan Bresee', 'DL', 'Clemson', 'ACC']","['tampa-bay-buccaneers', 'Broderick Jones', 'OT', 'Georgia', 'SEC']","['seattle-seahawks', 'Will Levis', 'QB', 'Kentucky', 'SEC']","['los-angeles-chargers', 'Quentin Johnston', 'WR', 'TCU', 'Big 12']","['baltimore-ravens', 'Michael Mayer', 'TE', 'Notre Dame', 'FBS Independent']","['minnesota-vikings', 'Bijan Robinson', 'RB', 'Texas', 'Big 12']","['jacksonville-jaguars', 'Brian Branch', 'S', 'Alabama', 'SEC']","['new-york-giants', 'Deonte Banks', 'CB', 'Maryland', 'Big Ten']","['dallas-cowboys', 'Dalton Kincaid', 'TE', 'Utah', 'Pac-12']","['buffalo-bills', 'Zay Flowers', 'WR', 'Boston College', 'ACC']","['cincinnati-bengals', 'Calijah Kancey', 'DL', 'Pittsburgh', 'ACC']","['new-orleans-saints', 'Mazi Smith', 'DL', 'Michigan', 'Big Ten']","['philadelphia-eagles', 'Drew Sanders', 'LB', 'Arkansas', 'SEC']","['kansas-city-chiefs', 'Will McDonald IV', 'EDGE', 'Iowa St.', 'Big 12']"
CBS,04/14/23,Kyle Stackpole,https://www.nflmockdraftdatabase.com/mock-drafts/2023/cbs-2023-kyle-stackpole?date=2023-04-14,"['carolina-panthers', 'Bryce Young', 'QB', 'Alabama', 'SEC']","['houston-texans', 'C.J. Stroud', 'QB', 'Ohio St.', 'Big Ten']","['detroit-lions', 'Anthony Richardson', 'QB', 'Florida', 'SEC']","['indianapolis-colts', 'Will Levis', 'QB', 'Kentucky', 'SEC']","['seattle-seahawks', 'Jalen Carter', 'DL', 'Georgia', 'SEC']","['arizona-cardinals', 'Will Anderson Jr.', 'EDGE', 'Alabama', 'SEC']","['las-vegas-raiders', 'Christian Gonzalez', 'CB', 'Oregon', 'Pac-12']","['atlanta-falcons', 'Tyree Wilson', 'EDGE', 'Texas Tech', 'Big 12']","['chicago-bears', 'Paris Johnson Jr.', 'OT', 'Ohio St.', 'Big Ten']","['new-england-patriots', 'Peter Skoronski', 'OT', 'Northwestern', 'Big Ten']","['tennessee-titans', 'Broderick Jones', 'OT', 'Georgia', 'SEC']","['houston-texans', 'Devon Witherspoon', 'CB', 'Illinois', 'Big Ten']","['new-york-jets', 'Darnell Wright', 'OT', 'Tennessee', 'SEC']","['philadelphia-eagles', 'Bijan Robinson', 'RB', 'Texas', 'Big 12']","['green-bay-packers', 'Lukas Van Ness', 'EDGE', 'Iowa', 'Big Ten']","['washington-commanders', 'Joey Porter Jr.', 'CB', 'Penn St.', 'Big Ten']","['pittsburgh-steelers', 'Deonte Banks', 'CB', 'Maryland', 'Big Ten']","['detroit-lions', 'Bryan Bresee', 'DL', 'Clemson', 'ACC']","['tampa-bay-buccaneers', 'Hendon Hooker', 'QB', 'Tennessee', 'SEC']","['seattle-seahawks', 'Nolan Smith', 'EDGE', 'Georgia', 'SEC']","['los-angeles-chargers', 'Jaxon Smith-Njigba', 'WR', 'Ohio St.', 'Big Ten']","['philadelphia-eagles', 'Brian Branch', 'S', 'Alabama', 'SEC']","['minnesota-vikings', 'Jordan Addison', 'WR', 'USC', 'Pac-12']","['jacksonville-jaguars', 'Myles Murphy', 'DL', 'Clemson', 'ACC']","['new-york-giants', ""O'Cyrus Torrence"", 'IOL', 'Florida', 'SEC']","['dallas-cowboys', 'Dalton Kincaid', 'TE', 'Utah', 'Pac-12']","['buffalo-bills', 'Zay Flowers', 'WR', 'Boston College', 'ACC']","['cincinnati-bengals', 'Michael Mayer', 'TE', 'Notre Dame', 'FBS Independent']","['new-orleans-saints', 'Keion White', 'EDGE', 'Georgia Tech', 'ACC']","['baltimore-ravens', 'Quentin Johnston', 'WR', 'TCU', 'Big 12']","['kansas-city-chiefs', 'Calijah Kancey', 'DL', 'Pittsburgh', 'ACC']"
Fantasy SP,04/14/23,Mark Morales-Smith,https://www.nflmockdraftdatabase.com/mock-drafts/2023/fantasy-sp-2023-mark-morales-smith?date=2023-04-14,"['carolina-panthers', 'Bryce Young', 'QB', 'Alabama', 'SEC']","['houston-texans', 'C.J. Stroud', 'QB', 'Ohio St.', 'Big Ten']","['las-vegas-raiders', 'Anthony Richardson', 'QB', 'Florida', 'SEC']","['indianapolis-colts', 'Hendon Hooker', 'QB', 'Tennessee', 'SEC']","['seattle-seahawks', 'Jalen Carter', 'DL', 'Georgia', 'SEC']","['detroit-lions', 'Will Anderson Jr.', 'EDGE', 'Alabama', 'SEC']","['arizona-cardinals', 'Christian Gonzalez', 'CB', 'Oregon', 'Pac-12']","['atlanta-falcons', 'Peter Skoronski', 'OT', 'Northwestern', 'Big Ten']","['chicago-bears', 'Tyree Wilson', 'EDGE', 'Texas Tech', 'Big 12']","['new-england-patriots', 'Jaxon Smith-Njigba', 'WR', 'Ohio St.', 'Big Ten']","['washington-commanders', 'Cam Smith', 'CB', 'South Carolina', 'SEC']","['houston-texans', 'Siaki Ika', 'DL', 'Baylor', 'Big 12']","['new-york-jets', 'Paris Johnson Jr.', 'OT', 'Ohio St.', 'Big Ten']","['philadelphia-eagles', 'Bijan Robinson', 'RB', 'Texas', 'Big 12']","['green-bay-packers', 'Myles Murphy', 'EDGE', 'Clemson', 'ACC']","['tennessee-titans', 'Quentin Johnston', 'WR', 'TCU', 'Big 12']","['pittsburgh-steelers', 'Joey Porter Jr.', 'CB', 'Penn St.', 'Big Ten']","['detroit-lions', 'Bryan Bresee', 'DL', 'Clemson', 'ACC']","['tampa-bay-buccaneers', 'Devon Witherspoon', 'CB', 'Illinois', 'Big Ten']","['tennessee-titans', 'Will Levis', 'QB', 'Kentucky', 'SEC']","['los-angeles-chargers', ""O'Cyrus Torrence"", 'IOL', 'Florida', 'SEC']","['baltimore-ravens', 'Brian Branch', 'S', 'Alabama', 'SEC']","['minnesota-vikings', 'Lukas Van Ness', 'EDGE', 'Iowa', 'Big Ten']","['jacksonville-jaguars', 'Broderick Jones', 'OT', 'Georgia', 'SEC']","['new-york-giants', 'Jalin Hyatt', 'WR', 'Tennessee', 'SEC']","['dallas-cowboys', 'Antonio Johnson', 'S', 'Texas A&M', 'SEC']","['buffalo-bills', 'Trenton Simpson', 'LB', 'Clemson', 'ACC']","['cincinnati-bengals', 'Deonte Banks', 'CB', 'Maryland', 'Big Ten']","['new-orleans-saints', 'Anton Harrison', 'OT', 'Oklahoma', 'Big 12']","['philadelphia-eagles', 'Nolan Smith', 'EDGE', 'Georgia', 'SEC']","['kansas-city-chiefs', 'Zay Flowers', 'WR', 'Boston College', 'ACC']"
Sports Gambling Podcast,04/14/23,John Ginder,https://www.nflmockdraftdatabase.com/mock-drafts/2023/sports-gambling-podcast-2023-john-ginder?date=2023-04-14,"['carolina-panthers', 'C.J. Stroud', 'QB', 'Ohio St.', 'Big Ten']","['houston-texans', 'Bryce Young', 'QB', 'Alabama', 'SEC']","['arizona-cardinals', 'Will Anderson Jr.', 'EDGE', 'Alabama', 'SEC']","['indianapolis-colts', 'Will Levis', 'QB', 'Kentucky', 'SEC']","['seattle-seahawks', 'Anthony Richardson', 'QB', 'Florida', 'SEC']","['detroit-lions', 'Jalen Carter', 'DL', 'Georgia', 'SEC']","['las-vegas-raiders', 'Devon Witherspoon', 'CB', 'Illinois', 'Big Ten']","['atlanta-falcons', 'Tyree Wilson', 'EDGE', 'Texas Tech', 'Big 12']","['chicago-bears', 'Peter Skoronski', 'OT', 'Northwestern', 'Big Ten']","['philadelphia-eagles', 'Quentin Johnston', 'WR', 'TCU', 'Big 12']","['tennessee-titans', 'Jaxon Smith-Njigba', 'WR', 'Ohio St.', 'Big Ten']","['houston-texans', 'Christian Gonzalez', 'CB', 'Oregon', 'Pac-12']","['new-york-jets', 'Paris Johnson Jr.', 'OT', 'Ohio St.', 'Big Ten']","['new-england-patriots', 'Calijah Kancey', 'DL', 'Pittsburgh', 'ACC']","['green-bay-packers', 'Brian Branch', 'S', 'Alabama', 'SEC']","['washington-commanders', 'Joey Porter Jr.', 'CB', 'Penn St.', 'Big Ten']","['pittsburgh-steelers', 'Broderick Jones', 'OT', 'Georgia', 'SEC']","['detroit-lions', 'Lukas Van Ness', 'EDGE', 'Iowa', 'Big Ten']","['tampa-bay-buccaneers', 'Anton Harrison', 'OT', 'Oklahoma', 'Big 12']","['seattle-seahawks', 'Nolan Smith', 'EDGE', 'Georgia', 'SEC']","['los-angeles-chargers', 'Zay Flowers', 'WR', 'Boston College', 'ACC']","['baltimore-ravens', 'Deonte Banks', 'CB', 'Maryland', 'Big Ten']","['minnesota-vikings', 'Bryan Bresee', 'DL', 'Clemson', 'ACC']","['jacksonville-jaguars', 'Myles Murphy', 'EDGE', 'Clemson', 'ACC']","['new-york-giants', 'Jordan Addison', 'WR', 'USC', 'Pac-12']","['dallas-cowboys', 'Bijan Robinson', 'RB', 'Texas', 'Big 12']","['buffalo-bills', 'Emmanuel Forbes', 'CB', 'Mississippi St.', 'SEC']","['cincinnati-bengals', 'Dalton Kincaid', 'TE', 'Utah', 'Pac-12']","['new-orleans-saints', ""O'Cyrus Torrence"", 'IOL', 'Florida', 'SEC']","['philadelphia-eagles', 'Mazi Smith', 'DL', 'Michigan', 'Big Ten']","['kansas-city-chiefs', 'Josh Downs', 'WR', 'North Carolina', 'ACC']"
Draftwire,04/13/23,Jeff Risdon,https://www.nflmockdraftdatabase.com/mock-drafts/2023/draftwire-2023-jeff-risdon?date=2023-04-13,"['carolina-panthers', 'Bryce Young', 'QB', 'Alabama', 'SEC']","['houston-texans', 'Will Anderson Jr.', 'EDGE', 'Alabama', 'SEC']","['tennessee-titans', 'C.J. Stroud', 'QB', 'Ohio St.', 'Big Ten']","['indianapolis-colts', 'Anthony Richardson', 'QB', 'Florida', 'SEC']","['seattle-seahawks', 'Jalen Carter', 'DL', 'Georgia', 'SEC']","['detroit-lions', 'Devon Witherspoon', 'CB', 'Illinois', 'Big Ten']","['arizona-cardinals', 'Tyree Wilson', 'EDGE', 'Texas Tech', 'Big 12']","['atlanta-falcons', 'Bijan Robinson', 'RB', 'Texas', 'Big 12']","['chicago-bears', 'Darnell Wright', 'OT', 'Tennessee', 'SEC']","['houston-texans', 'Will Levis', 'QB', 'Kentucky', 'SEC']","['las-vegas-raiders', 'Christian Gonzalez', 'CB', 'Oregon', 'Pac-12']","['philadelphia-eagles', 'Lukas Van Ness', 'EDGE', 'Iowa', 'Big Ten']","['new-york-jets', 'Paris Johnson Jr.', 'OT', 'Ohio St.', 'Big Ten']","['new-england-patriots', 'Broderick Jones', 'OT', 'Georgia', 'SEC']","['green-bay-packers', 'Bryan Bresee', 'DL', 'Clemson', 'ACC']","['washington-commanders', 'Joey Porter Jr.', 'CB', 'Penn St.', 'Big Ten']","['pittsburgh-steelers', 'Peter Skoronski', 'IOL', 'Northwestern', 'Big Ten']","['detroit-lions', ""O'Cyrus Torrence"", 'IOL', 'Florida', 'SEC']","['tampa-bay-buccaneers', 'Jaxon Smith-Njigba', 'WR', 'Ohio St.', 'Big Ten']","['seattle-seahawks', 'Hendon Hooker', 'QB', 'Tennessee', 'SEC']","['los-angeles-chargers', 'Dalton Kincaid', 'TE', 'Utah', 'Pac-12']","['baltimore-ravens', 'Nolan Smith', 'EDGE', 'Georgia', 'SEC']","['minnesota-vikings', 'Myles Murphy', 'EDGE', 'Clemson', 'ACC']","['jacksonville-jaguars', 'Brian Branch', 'S', 'Alabama', 'SEC']","['new-york-giants', 'John Michael Schmitz', 'IOL', 'Minnesota', 'Big Ten']","['dallas-cowboys', 'Jahmyr Gibbs', 'RB', 'Alabama', 'SEC']","['las-vegas-raiders', 'Calijah Kancey', 'DL', 'Pittsburgh', 'ACC']","['cincinnati-bengals', 'Adetomiwa Adebawore', 'DL', 'Northwestern', 'Big Ten']","['new-orleans-saints', 'Mazi Smith', 'DL', 'Michigan', 'Big Ten']","['philadelphia-eagles', 'Michael Mayer', 'TE', 'Notre Dame', 'FBS Independent']","['kansas-city-chiefs', 'Will McDonald IV', 'EDGE', 'Iowa St.', 'Big 12']"
CBS,04/13/23,Josh Edwards,https://www.nflmockdraftdatabase.com/mock-drafts/2023/cbs-2023-josh-edwards?date=2023-04-13,"['carolina-panthers', 'Bryce Young', 'QB', 'Alabama', 'SEC']","['houston-texans', 'C.J. Stroud', 'QB', 'Ohio St.', 'Big Ten']","['arizona-cardinals', 'Will Anderson Jr.', 'EDGE', 'Alabama', 'SEC']","['indianapolis-colts', 'Will Levis', 'QB', 'Kentucky', 'SEC']","['seattle-seahawks', 'Anthony Richardson', 'QB', 'Florida', 'SEC']","['detroit-lions', 'Jalen Carter', 'DL', 'Georgia', 'SEC']","['las-vegas-raiders', 'Christian Gonzalez', 'CB', 'Oregon', 'Pac-12']","['atlanta-falcons', 'Tyree Wilson', 'EDGE', 'Texas Tech', 'Big 12']","['chicago-bears', 'Peter Skoronski', 'OT', 'Northwestern', 'Big Ten']","['philadelphia-eagles', 'Nolan Smith', 'EDGE', 'Georgia', 'SEC']","['tennessee-titans', 'Darnell Wright', 'OT', 'Tennessee', 'SEC']","['houston-texans', 'Lukas Van Ness', 'EDGE', 'Iowa', 'Big Ten']","['new-york-jets', 'Paris Johnson Jr.', 'OT', 'Ohio St.', 'Big Ten']","['new-england-patriots', 'Broderick Jones', 'OT', 'Georgia', 'SEC']","['green-bay-packers', 'Jaxon Smith-Njigba', 'WR', 'Ohio St.', 'Big Ten']","['washington-commanders', 'Devon Witherspoon', 'CB', 'Illinois', 'Big Ten']","['pittsburgh-steelers', 'Joey Porter Jr.', 'CB', 'Penn St.', 'Big Ten']","['detroit-lions', 'Deonte Banks', 'CB', 'Maryland', 'Big Ten']","['tampa-bay-buccaneers', ""O'Cyrus Torrence"", 'IOL', 'Florida', 'SEC']","['seattle-seahawks', 'Myles Murphy', 'DL', 'Clemson', 'ACC']","['los-angeles-chargers', 'Bijan Robinson', 'RB', 'Texas', 'Big 12']","['baltimore-ravens', 'Quentin Johnston', 'WR', 'TCU', 'Big 12']","['minnesota-vikings', 'Hendon Hooker', 'QB', 'Tennessee', 'SEC']","['jacksonville-jaguars', 'Bryan Bresee', 'DL', 'Clemson', 'ACC']","['new-york-giants', 'Cam Smith', 'CB', 'South Carolina', 'SEC']","['dallas-cowboys', 'Brian Branch', 'S', 'Alabama', 'SEC']","['buffalo-bills', 'Dalton Kincaid', 'TE', 'Utah', 'Pac-12']","['cincinnati-bengals', 'Michael Mayer', 'TE', 'Notre Dame', 'FBS Independent']","['new-orleans-saints', 'Keion White', 'DL', 'Georgia Tech', 'ACC']","['philadelphia-eagles', 'Calijah Kancey', 'DL', 'Pittsburgh', 'ACC']","['kansas-city-chiefs', 'Anton Harrison', 'OT', 'Oklahoma', 'Big 12']"
College Sports Wire,04/13/23,Patrick Conn,https://www.nflmockdraftdatabase.com/mock-drafts/2023/college-sports-wire-2023-patrick-conn?date=2023-04-13,"['carolina-panthers', 'Bryce Young', 'QB', 'Alabama', 'SEC']","['houston-texans', 'C.J. Stroud', 'QB', 'Ohio St.', 'Big Ten']","['arizona-cardinals', 'Christian Gonzalez', 'CB', 'Oregon', 'Pac-12']","['indianapolis-colts', 'Will Anderson Jr.', 'EDGE', 'Alabama', 'SEC']","['seattle-seahawks', 'Tyree Wilson', 'EDGE', 'Texas Tech', 'Big 12']","['detroit-lions', 'Bijan Robinson', 'RB', 'Texas', 'Big 12']","['las-vegas-raiders', 'Anthony Richardson', 'QB', 'Florida', 'SEC']","['atlanta-falcons', 'Devon Witherspoon', 'CB', 'Illinois', 'Big Ten']","['chicago-bears', 'Jalen Carter', 'DL', 'Georgia', 'SEC']","['philadelphia-eagles', 'Brian Branch', 'S', 'Alabama', 'SEC']","['tennessee-titans', 'Paris Johnson Jr.', 'OT', 'Ohio St.', 'Big Ten']","['houston-texans', 'Broderick Jones', 'OT', 'Georgia', 'SEC']","['green-bay-packers', 'Nolan Smith', 'EDGE', 'Georgia', 'SEC']","['new-england-patriots', 'Peter Skoronski', 'OT', 'Northwestern', 'Big Ten']","['green-bay-packers', 'Bryan Bresee', 'DL', 'Clemson', 'ACC']","['washington-commanders', ""O'Cyrus Torrence"", 'IOL', 'Florida', 'SEC']","['pittsburgh-steelers', 'Darnell Wright', 'OT', 'Tennessee', 'SEC']","['detroit-lions', 'Joey Porter Jr.', 'CB', 'Penn St.', 'Big Ten']","['tampa-bay-buccaneers', 'Jaxon Smith-Njigba', 'WR', 'Ohio St.', 'Big Ten']","['seattle-seahawks', 'Drew Sanders', 'LB', 'Arkansas', 'SEC']","['los-angeles-chargers', 'Dalton Kincaid', 'TE', 'Utah', 'Pac-12']","['baltimore-ravens', 'Myles Murphy', 'EDGE', 'Clemson', 'ACC']","['minnesota-vikings', 'Jordan Addison', 'WR', 'USC', 'Pac-12']","['jacksonville-jaguars', 'Lukas Van Ness', 'EDGE', 'Iowa', 'Big Ten']","['new-york-giants', 'Jalin Hyatt', 'WR', 'Tennessee', 'SEC']","['dallas-cowboys', 'Quentin Johnston', 'WR', 'TCU', 'Big 12']","['buffalo-bills', 'Zay Flowers', 'WR', 'Boston College', 'ACC']","['cincinnati-bengals', 'Michael Mayer', 'TE', 'Notre Dame', 'FBS Independent']","['new-orleans-saints', 'Will Levis', 'QB', 'Kentucky', 'SEC']","['philadelphia-eagles', 'Jahmyr Gibbs', 'RB', 'Alabama', 'SEC']","['kansas-city-chiefs', 'B.J. Ojulari', 'EDGE', 'LSU', 'SEC']"
The Score,04/13/23,Staff,https://www.nflmockdraftdatabase.com/mock-drafts/2023/the-score-2023?date=2023-04-13,"['carolina-panthers', 'Bryce Young', 'QB', 'Alabama', 'SEC']","['houston-texans', 'Will Anderson Jr.', 'EDGE', 'Alabama', 'SEC']","['arizona-cardinals', 'Tyree Wilson', 'EDGE', 'Texas Tech', 'Big 12']","['indianapolis-colts', 'C.J. Stroud', 'QB', 'Ohio St.', 'Big Ten']","['seattle-seahawks', 'Jalen Carter', 'DL', 'Georgia', 'SEC']","['detroit-lions', 'Devon Witherspoon', 'CB', 'Illinois', 'Big Ten']","['las-vegas-raiders', 'Anthony Richardson', 'QB', 'Florida', 'SEC']","['atlanta-falcons', 'Nolan Smith', 'EDGE', 'Georgia', 'SEC']","['chicago-bears', 'Darnell Wright', 'OT', 'Tennessee', 'SEC']","['philadelphia-eagles', 'Lukas Van Ness', 'EDGE', 'Iowa', 'Big Ten']","['tennessee-titans', 'Jaxon Smith-Njigba', 'WR', 'Ohio St.', 'Big Ten']","['houston-texans', 'Will Levis', 'QB', 'Kentucky', 'SEC']","['new-york-jets', 'Peter Skoronski', 'OT', 'Northwestern', 'Big Ten']","['new-england-patriots', 'Paris Johnson Jr.', 'OT', 'Ohio St.', 'Big Ten']","['green-bay-packers', 'Michael Mayer', 'TE', 'Notre Dame', 'FBS Independent']","['washington-commanders', 'Christian Gonzalez', 'CB', 'Oregon', 'Pac-12']","['pittsburgh-steelers', 'Broderick Jones', 'OT', 'Georgia', 'SEC']","['detroit-lions', 'Bryan Bresee', 'DL', 'Clemson', 'ACC']","['tampa-bay-buccaneers', 'Joey Porter Jr.', 'CB', 'Penn St.', 'Big Ten']","['seattle-seahawks', 'Jordan Addison', 'WR', 'USC', 'Pac-12']","['los-angeles-chargers', 'Bijan Robinson', 'RB', 'Texas', 'Big 12']","['baltimore-ravens', 'Deonte Banks', 'CB', 'Maryland', 'Big Ten']","['minnesota-vikings', 'Quentin Johnston', 'WR', 'TCU', 'Big 12']","['jacksonville-jaguars', 'Brian Branch', 'S', 'Alabama', 'SEC']","['new-york-giants', 'Joe Tippmann', 'IOL', 'Wisconsin', 'Big Ten']","['dallas-cowboys', 'Dalton Kincaid', 'TE', 'Utah', 'Pac-12']","['buffalo-bills', 'Zay Flowers', 'WR', 'Boston College', 'ACC']","['cincinnati-bengals', 'Darnell Washington', 'TE', 'Georgia', 'SEC']","['new-orleans-saints', 'Myles Murphy', 'EDGE', 'Clemson', 'ACC']","['philadelphia-eagles', 'Calijah Kancey', 'DL', 'Pittsburgh', 'ACC']","['kansas-city-chiefs', 'Will McDonald IV', 'EDGE', 'Iowa St.', 'Big 12']"
Windy City Gridiron,04/13/23,Jacob Infante,https://www.nflmockdraftdatabase.com/mock-drafts/2023/windy-city-gridiron-2023-jacob-infante?date=2023-04-13,"['carolina-panthers', 'Bryce Young', 'QB', 'Alabama', 'SEC']","['houston-texans', 'Will Anderson Jr.', 'EDGE', 'Alabama', 'SEC']","['indianapolis-colts', 'C.J. Stroud', 'QB', 'Ohio St.', 'Big Ten']","['arizona-cardinals', 'Christian Gonzalez', 'CB', 'Oregon', 'Pac-12']","['houston-texans', 'Anthony Richardson', 'QB', 'Florida', 'SEC']","['detroit-lions', 'Jalen Carter', 'DL', 'Georgia', 'SEC']","['las-vegas-raiders', 'Will Levis', 'QB', 'Kentucky', 'SEC']","['atlanta-falcons', 'Tyree Wilson', 'EDGE', 'Texas Tech', 'Big 12']","['pittsburgh-steelers', 'Paris Johnson Jr.', 'OT', 'Ohio St.', 'Big Ten']","['philadelphia-eagles', 'Peter Skoronski', 'IOL', 'Northwestern', 'Big Ten']","['washington-commanders', 'Devon Witherspoon', 'CB', 'Illinois', 'Big Ten']","['seattle-seahawks', 'Myles Murphy', 'EDGE', 'Clemson', 'ACC']","['new-york-jets', 'Broderick Jones', 'OT', 'Georgia', 'SEC']","['new-england-patriots', 'Zay Flowers', 'WR', 'Boston College', 'ACC']","['green-bay-packers', 'Nolan Smith', 'EDGE', 'Georgia', 'SEC']","['tennessee-titans', 'Jaxon Smith-Njigba', 'WR', 'Ohio St.', 'Big Ten']","['chicago-bears', 'Darnell Wright', 'OT', 'Tennessee', 'SEC']","['detroit-lions', 'Joey Porter Jr.', 'CB', 'Penn St.', 'Big Ten']","['tampa-bay-buccaneers', 'Deonte Banks', 'CB', 'Maryland', 'Big Ten']","['seattle-seahawks', 'Calijah Kancey', 'DL', 'Pittsburgh', 'ACC']","['los-angeles-chargers', 'Jordan Addison', 'WR', 'USC', 'Pac-12']","['baltimore-ravens', 'Lukas Van Ness', 'EDGE', 'Iowa', 'Big Ten']","['minnesota-vikings', 'Quentin Johnston', 'WR', 'TCU', 'Big 12']","['jacksonville-jaguars', 'Dalton Kincaid', 'TE', 'Utah', 'Pac-12']","['new-york-giants', ""O'Cyrus Torrence"", 'IOL', 'Florida', 'SEC']","['dallas-cowboys', 'Michael Mayer', 'TE', 'Notre Dame', 'FBS Independent']","['buffalo-bills', 'Bijan Robinson', 'RB', 'Texas', 'Big 12']","['cincinnati-bengals', 'Dawand Jones', 'OT', 'Ohio St.', 'Big Ten']","['new-orleans-saints', 'Will McDonald IV', 'EDGE', 'Iowa St.', 'Big 12']","['philadelphia-eagles', 'Tyrique Stevenson', 'CB', 'Miami (FL)', 'ACC']","['kansas-city-chiefs', 'Mazi Smith', 'DL', 'Michigan', 'Big Ten']"
